# informal cutoff for inclusion:
# flat: 32 maps
# semi-staircased: 12 maps
# staircased: 8 maps

8;  4;  flat;            full colour;  Gotta Catch Em' All;                                     Harri;                                                             616841031605944360
9;  6;  flat;            two-colour;   Abaddons Last Art;                                       Phi, Albatros, Tae;                                                650500181573500928
8;  5;  flat;            full colour;  Deathly Hallows;                                         Aryezz, IronException, THCFree, Sanku;                             859364782891991040
27; 16; dual-layered;    two-colour;   no comment;                                              popstonia;                                                         910748616283545640
8;  8;  flat + terrain;  full colour;  Sky Masons;                                              The Spawn Masons;                                                  916099357823103038
21; 12; staircased;      full colour;  Angel's Mirror;                                          KevinKC2014;                                                       953371453447884851
8;  8;  dual-layered;    carpet only;  ponystonia;                                              popstonia;                                                         954851826770018364
11; 11; flat;            98.7% carpet; Mapopoly;                                                T Gang;                                                            957248581339844668
7;  7;  flat;            carpet only;  Fox Portrait;                                            FoxMe;                                                            1161077180445499464
8;  4;  flat;            carpet only;  2.2;                                                     CrowTheBest, WrityGD, M1vae;                                      1197302445689274428
6;  6;  flat;            carpet only;  small luni;                                              GAN G SEA LANTERN;                                                1203485357887332382
9;  5;  flat;            carpet only;  2b2t_Uncensored Mod Team;                                GAN G SEA LANTERN;                                                1203485398043459615
6;  8;  flat;            carpet only;  joycongodz 999;                                          GAN G SEA LANTERN;                                                1203485833827459142
7;  7;  flat;            carpet only;  big luni;                                                GAN G SEA LANTERN;                                                1203485846972530738
8;  4;  flat;            carpet only;  GT-Four;                                                 GAN G SEA LANTERN;                                                1203485858896945242
6;  6;  flat;            carpet only;  Starscourge Radahn;                                      GAN G SEA LANTERN;                                                1203486002094673970
8;  8;  flat;            carpet only;  scrunch;                                                 GAN G SEA LANTERN;                                                1203486157409755236
6;  8;  flat;            carpet only;  Godfrey, First Elden Lord;                               GAN G SEA LANTERN;                                                1203486235100708864
8;  4;  flat;            carpet only;  KING KRUST;                                              GAN G SEA LANTERN;                                                1203486365711466618
5;  8;  flat;            carpet only;  belle delphine;                                          GAN G SEA LANTERN;                                                1203486395583430758
15; 10; flat;            carpet only;  yodieland;                                               GAN G SEA LANTERN;                                                1203486952855306330
10; 8;  flat;            carpet only;  Hausemaster should just delete the entire world of 2b2t; GAN G SEA LANTERN;                                                1203486991799549973
9;  9;  flat;            carpet only;  DIMATOWN;                                                GAN G SEA LANTERN, DIMA;                                          1203487165615579207
15; 10; flat;            carpet only;  sick fearless bastard;                                   nyxis, GAN G SEA LANTERN;                                         1203487345177788446
11; 16; flat;            carpet only;  The Diary;                                               CirocDrip;                                                        1203487381878079548
20; 20; flat;            carpet only;  Hubble Ultra Deep Field (2004;                           DuctTapeMessiah;                                                  1205328109579145296
9;  9;  flat;            carpet only;  He is the One - The Matrix;                              DuctTapeMessiah;                                                  1216129369525846118
6;  6;  flat;            carpet only;  penis_fucking @p_f;                                      GAN G SEA LANTERN;                                                1220511596951109652
